road,id,model_type,condition,name,lat,lon,length
N1,200000.0,sourcesink,,ss,23.7060278,90.443333,0.0
N1,200001.0,link,,link 1,23.592875727776523,90.60132335027487,1800.0
N1,200002.0,bridge,A,bridge 1,23.479723655553048,90.75931370054975,7.325
N1,200003.0,link,,link 2,23.592903477776524,90.64042040027488,6963.0
N1,100000.0,intersection,,N1toN2,23.7060833,90.5215271,0.0
N1,200005.0,link,,link 3,23.70557159628375,90.52237062317565,213.0
N1,200006.0,bridge,C,bridge 2,23.7050598925675,90.5232141463513,395.615
N1,200007.0,link,,link 4,23.7007299897392,90.529156563228,1567.0
N1,200008.0,bridge,B,bridge 3,23.6964000869109,90.5350989801047,8.0
N1,200009.0,link,,link 5,22.785687893585916,91.10752871355041,337.0
N1,200010.0,bridge,A,bridge 4,21.874975700260933,91.67995844699611,2.9
N1,200011.0,link,,link 6,22.784639043588367,91.10883290947936,17.0
N1,200012.0,bridge,A,bridge 5,23.6943023869158,90.5377073719626,6.3
N1,200013.0,link,,link 7,23.693331269392452,90.5393128808411,399.0
N1,200014.0,bridge,A,bridge 6,23.6923601518691,90.5409183897196,8.3
N1,200015.0,link,,link 8,23.6916360416921,90.54319044273855,512.0
N1,200016.0,bridge,B,bridge 7,23.6909119315151,90.5454624957575,10.6
N1,200017.0,link,,link 9,23.69066411575755,90.54602274787875,128.0
N1,100001.0,intersection,,N1toN105,23.6904163,90.546583,0.0
N1,200019.0,link,,link 10,23.6894143130102,90.54757076454081,303.0
N1,200020.0,bridge,A,bridge 8,23.6884123260204,90.5485585290816,9.3
N1,200021.0,link,,link 11,23.6883660295918,90.5486041683673,14.0
N1,200022.0,bridge,A,bridge 9,23.6883197331632,90.548649807653,6.1
N1,200023.0,link,,link 12,23.686896117821902,90.54996669322821,407.0
N1,200024.0,bridge,A,bridge 10,23.6854725024806,90.5512835788034,27.1
N1,200025.0,link,,link 13,23.6816380012403,90.55355150690166,914.0
N1,200026.0,bridge,A,bridge 11,23.6778035,90.5558194349999,11.9
N1,200027.0,link,,link 14,23.67055628480745,90.55983821489846,1891.0
N1,200028.0,bridge,B,bridge 12,23.6633090696149,90.563856994797,5.55
N1,200029.0,link,,link 15,23.65886738736425,90.5702936098985,1669.0
N1,200030.0,bridge,C,bridge 13,23.6544257051136,90.576730225,159.51
N1,200031.0,link,,link 16,23.6537987002854,90.57775098494837,88.0
N1,200032.0,bridge,B,bridge 14,23.6531716954572,90.57877174489673,20.308333333333334
N1,200033.0,link,,link 17,23.651463047406,90.58166037672251,871.0
N1,200034.0,bridge,B,bridge 15,23.6497543993548,90.5845490085483,25.166666666666664
N1,200035.0,link,,link 18,23.647861497135,90.5868804949521,649.0
N1,200036.0,bridge,C,bridge 16,23.6459685949152,90.5892119813559,40.39833333333333
N1,200037.0,link,,link 19,23.6419614832268,90.5914396895241,1018.0
N1,200038.0,bridge,A,bridge 17,23.6379543715384,90.5936673976923,6.0
N1,200039.0,link,,link 20,23.6358797957692,90.59553074134615,637.0
N1,200040.0,bridge,B,bridge 18,23.63380522,90.597394085,10.4
N1,200041.0,link,,link 21,23.6311360353846,90.59984782865385,787.0
N1,200042.0,bridge,A,bridge 19,23.6284668507692,90.6023015723077,88.905
N1,200043.0,link,,link 22,23.624175036860002,90.6053272287768,1144.0
N1,200044.0,bridge,B,bridge 20,23.6198832229508,90.6083528852459,5.5
N1,200045.0,link,,link 23,23.61876200971065,90.60895174791705,268.0
N1,200046.0,bridge,B,bridge 21,23.6176407964705,90.6095506105882,221.14166666666665
N1,200047.0,link,,link 24,23.615614090427748,90.61022678336894,485.0
N1,200048.0,bridge,B,bridge 22,23.613587384385,90.6109029561497,119.05666666666667
N1,200049.0,link,,link 25,23.60817348647165,90.61321732635861,1312.0
N1,200050.0,bridge,C,bridge 23,23.6027595885583,90.6155316965675,912.425
N1,200051.0,link,,link 26,23.5978707356738,90.6217508168297,1722.0
N1,200052.0,bridge,A,bridge 24,23.5929818827893,90.6279699370919,5.6
N1,200053.0,link,,link 27,23.59189536876805,90.62910339845101,337.0
N1,200054.0,bridge,A,bridge 25,23.5908088547468,90.6302368598101,5.5
N1,200055.0,link,,link 28,23.588563488643402,90.6323731402597,668.0
N1,200056.0,bridge,A,bridge 26,23.58631812254,90.6345094207093,5.6
N1,200057.0,link,,link 29,23.58214907369375,90.6382143648516,1195.0
N1,200058.0,bridge,A,bridge 27,23.5779800248475,90.6419193089939,170.2375
N1,200059.0,link,,link 30,23.574805325272,90.64366761633906,823.0
N1,200060.0,bridge,A,bridge 28,23.5716306256965,90.6454159236842,29.526666666666664
N1,200061.0,link,,link 31,23.5688170106743,90.6470198242062,704.0
N1,200062.0,bridge,A,bridge 29,23.5660033956521,90.6486237247282,34.7
N1,200063.0,link,,link 32,23.56259721264085,90.65218564754925,1066.0
N1,200064.0,bridge,B,bridge 30,23.5591910296296,90.6557475703703,26.85
N1,200065.0,link,,link 33,23.55744965987805,90.6577444974636,564.0
N1,200066.0,bridge,A,bridge 31,23.5557082901265,90.6597414245569,29.556666666666665
N1,200067.0,link,,link 34,23.55372524042405,90.6620476499073,649.0
N1,200068.0,bridge,A,bridge 32,23.5517421907216,90.6643538752577,29.561666666666667
N1,200069.0,link,,link 35,23.5497399676822,90.66670464253954,656.0
N1,200070.0,bridge,A,bridge 33,23.5477377446428,90.6690554098214,9.1
N1,200071.0,link,,link 36,22.928898269934674,91.05770392351475,19.0
N1,200072.0,bridge,A,bridge 34,22.31005879522655,91.4463524372081,3.25
N1,200073.0,link,,link 37,22.926372113238273,91.06059082485405,795.0
N1,200074.0,bridge,A,bridge 35,23.54268543125,90.6748292125,63.53
N1,200075.0,link,,link 38,23.541038224025,90.67664350065,520.0
N1,200076.0,bridge,C,bridge 36,23.5393910168,90.6784577888,5.1
N1,200077.0,link,,link 39,23.5353953386611,90.68295335738,1297.0
N1,200078.0,bridge,B,bridge 37,23.5313996605222,90.68744892596,25.133333333333333
N1,200079.0,link,,link 40,23.530775811586402,90.68862205484746,299.0
N1,200080.0,bridge,A,bridge 38,23.5301519626506,90.6897951837349,8.4
N1,200081.0,link,,link 41,23.530268217975298,90.69611772901746,1303.0
N1,200082.0,bridge,C,bridge 39,23.5303844733,90.7024402743,1408.8
N1,200083.0,link,,link 42,23.53140153665,90.71336049885,2294.0
N1,200084.0,bridge,C,bridge 40,23.5324186,90.7242807234,22.450000000000003
N1,200085.0,link,,link 43,23.532088691599952,90.72672936645,556.0
N1,200086.0,bridge,B,bridge 41,23.5317587831999,90.7291780095,6.0
N1,200087.0,link,,link 44,23.53078192214995,90.74371562975,3076.0
N1,200088.0,bridge,C,bridge 42,23.5298050611,90.75825325,16.5
N1,200089.0,link,,link 45,23.530285294660402,90.76916648757665,2228.0
N1,200090.0,bridge,C,bridge 43,23.5307655282208,90.7800797251533,3.9
N1,200091.0,link,,link 46,23.5308169345816,90.785943621163,1707.0
N1,200092.0,bridge,C,bridge 44,23.5308683409424,90.7918075171727,6.5
N1,200093.0,link,,link 47,23.5313459087212,90.80141151533635,1513.0
N1,200094.0,bridge,C,bridge 45,23.5318234765,90.8110155135,15.9
N1,200095.0,link,,link 48,23.5323989028,90.82099649484995,2174.0
N1,200096.0,bridge,A,bridge 46,23.5329743291,90.8309774761999,12.2
N1,200097.0,link,,link 49,23.52794549715,90.83759804469994,1755.0
N1,200098.0,bridge,C,bridge 47,23.5229166652,90.8442186132,4.5
N1,200099.0,link,,link 50,23.5165022117035,90.85996950836764,3693.0
N1,200100.0,bridge,C,bridge 48,23.510087758207,90.8757204035353,28.9
N1,200101.0,link,,link 51,23.508045096153502,90.88894747121765,2832.0
N1,200102.0,bridge,B,bridge 49,23.5060024341,90.9021745389,5.9
N1,200103.0,link,,link 52,23.505807787850003,90.91182028035,1992.0
N1,200104.0,bridge,B,bridge 50,23.5056131416,90.9214660218,3.0
N1,200105.0,link,,link 53,23.5040104632,90.9323539573,2268.0
N1,200106.0,bridge,B,bridge 51,23.5024077848,90.9432418928,6.0
N1,200107.0,link,,link 54,23.5018814886,90.94531315084996,440.0
N1,200108.0,bridge,A,bridge 52,23.5013551924,90.9473844088999,3.0
N1,200109.0,link,,link 55,23.4986257532,90.95948083024994,2640.0
N1,200110.0,bridge,B,bridge 53,23.495896314,90.9715772516,4.6
N1,200111.0,link,,link 56,23.4945845643,90.9801486466,1862.0
N1,200112.0,bridge,A,bridge 54,23.4932728146,90.9887200416,4.5
N1,200113.0,link,,link 57,23.4900767041627,91.0031433671235,3116.0
N1,200114.0,bridge,C,bridge 55,23.4868805937254,91.017566692647,22.825000000000003
N1,200115.0,link,,link 58,23.484333958515947,91.0319507888608,3123.0
N1,200116.0,bridge,B,bridge 56,23.4817873233065,91.0463348850746,4.6
N1,200117.0,link,,link 59,23.48176857658745,91.05134492687941,1033.0
N1,200118.0,bridge,B,bridge 57,23.4817498298684,91.0563549686842,4.6
N1,200119.0,link,,link 60,23.4811814579342,91.0618823689421,1169.0
N1,200120.0,bridge,A,bridge 58,23.480613086,91.0674097692,1.5
N1,200121.0,link,,link 61,23.479142685550002,91.07607520425,1901.0
N1,200122.0,bridge,C,bridge 59,23.4776722851,91.0847406393,1.0
N1,200123.0,link,,link 62,23.4778940950191,91.0958869233537,2567.0
N1,200124.0,bridge,B,bridge 60,23.4781159049382,91.1070332074074,3.0
N1,200125.0,link,,link 63,23.4785437524691,91.1125996037037,897.0
N1,100002.0,intersection,,N1toN102,23.4789716,91.118166,0.0
N1,200127.0,link,,link 64,23.479189994036652,91.1210290412844,591.0
N1,200128.0,bridge,A,bridge 61,23.4794083880733,91.1238920825688,1.4
N1,200129.0,link,,link 65,23.47947665603665,91.1264696132844,552.0
N1,200130.0,bridge,A,bridge 62,23.479544924,91.129047144,2.9
N1,200131.0,link,,link 66,23.4615894419136,91.13920697955939,4724.0
N1,200132.0,bridge,C,bridge 63,23.4436339598272,91.1493668151188,23.125
N1,200133.0,link,,link 67,23.432441365159498,91.15863057617764,3379.0
N1,200134.0,bridge,C,bridge 64,23.4212487704918,91.1678943372365,35.935
N1,200135.0,link,,link 68,23.4165905967538,91.18089866107854,2508.0
N1,200136.0,bridge,C,bridge 65,23.4119324230158,91.1939029849206,27.625
N1,200137.0,link,,link 69,23.40479212140225,91.20866255980326,3657.0
N1,200138.0,bridge,C,bridge 66,23.3976518197887,91.2234221346859,27.625
N1,200139.0,link,,link 70,23.38450829764435,91.23421983809291,3681.0
N1,200140.0,bridge,A,bridge 67,23.3713647755,91.2450175414999,30.439999999999998
N1,200141.0,link,,link 71,23.36176422646905,91.25115430808614,2518.0
N1,200142.0,bridge,C,bridge 68,23.3521636774381,91.2572910746724,22.84
N1,200143.0,link,,link 72,23.34741757471905,91.26088835533619,1297.0
N1,200144.0,bridge,A,bridge 69,23.342671472,91.264485636,14.3
N1,200145.0,link,,link 73,23.3364088522,91.2696824592,1766.0
N1,200146.0,bridge,A,bridge 70,23.3301462324,91.2748792824,24.0
N1,200147.0,link,,link 74,23.3241079596569,91.27898300728505,1606.0
N1,200148.0,bridge,A,bridge 71,23.3180696869138,91.2830867321701,9.2
N1,200149.0,link,,link 75,23.31321548001995,91.2848327178218,1164.0
N1,200150.0,bridge,B,bridge 72,23.3083612731261,91.2865787034735,19.2
N1,200151.0,link,,link 76,23.3058959590796,91.2877778716043,608.0
N1,200152.0,bridge,B,bridge 73,23.3034306450331,91.2889770397351,2.6
N1,200153.0,link,,link 77,23.30069908610035,91.28999558836466,654.0
N1,200154.0,bridge,A,bridge 74,23.2979675271676,91.2910141369942,3.2
N1,200155.0,link,,link 78,23.2938370829065,91.29198630405486,958.0
N1,200156.0,bridge,A,bridge 75,23.2897066386454,91.2929584711155,13.4
N1,200157.0,link,,link 79,23.28595078224255,91.2948119904027,960.0
N1,200158.0,bridge,B,bridge 76,23.2821949258397,91.2966655096899,4.6
N1,200159.0,link,,link 80,23.27760693791985,91.29981584894495,1248.0
N1,200160.0,bridge,B,bridge 77,23.27301895,91.3029661882,6.3
N1,200161.0,link,,link 81,23.2674275220297,91.3049939634069,1335.0
N1,200162.0,bridge,B,bridge 78,23.2618360940594,91.3070217386138,3.0
N1,200163.0,link,,link 82,23.260626372029698,91.30719141930689,274.0
N1,200164.0,bridge,B,bridge 79,23.25941665,91.3073611,3.0
N1,200165.0,link,,link 83,23.258529813744047,91.30748837470375,199.0
N1,200166.0,bridge,B,bridge 80,23.2576429774881,91.3076156494075,3.6
N1,200167.0,link,,link 84,23.255194658649252,91.3080041449644,549.0
N1,200168.0,bridge,B,bridge 81,23.2527463398104,91.3083926405213,4.5
N1,200169.0,link,,link 85,23.24856892620145,91.30989793489024,1013.0
N1,200170.0,bridge,B,bridge 82,23.2443915125925,91.3114032292592,2.5
N1,200171.0,link,,link 86,23.2436477872778,91.31168859162345,182.0
N1,200172.0,bridge,B,bridge 83,23.2429040619631,91.3119739539877,19.2
N1,200173.0,link,,link 87,23.241348046465,91.3122740200171,358.0
N1,200174.0,bridge,A,bridge 84,23.2397920309669,91.3125740860465,2.6
N1,200175.0,link,,link 88,23.2379339913096,91.31278214186045,422.0
N1,200176.0,bridge,A,bridge 85,23.2360759516523,91.3129901976744,2.5
N1,200177.0,link,,link 89,23.232497771808248,91.31320613276574,807.0
N1,200178.0,bridge,B,bridge 86,23.2289195919642,91.3134220678571,3.1
N1,200179.0,link,,link 90,23.22741901961075,91.3134958927893,334.0
N1,200180.0,bridge,B,bridge 87,23.2259184472573,91.3135697177215,2.6
N1,200181.0,link,,link 91,23.2239761725175,91.31363515552741,438.0
